antecedents,consequents,support,confidence,lift,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cosine,all_confidence,improvement,added_value,gini_index,lift_diff,kl_divergence
frozenset({'herb & pepper'}),frozenset({'ground beef'}),0.015997866951073192,0.3234501347708895,3.2919938411349285,0.011138238493944044,1.3328602667054752,0.7324602618045816,0.12145748987854252,0.24973380557605593,0.24313619357269034,0.2294882992098485,0.09825356619117451,0.225196568579715,0.225196568579715,0.007001631091990391,2.2919938411349285,0.5559983730498826
frozenset({'ground beef'}),frozenset({'herb & pepper'}),0.015997866951073192,0.1628222523744912,3.291993841134928,0.011138238493944044,1.1354099302156795,0.7720936822393062,0.12145748987854252,0.11926082960183147,0.24313619357269034,0.2294882992098485,0.04946007199040128,0.1133621803840899,0.1133621803840899,0.004361375811423182,2.291993841134928,0.27988520542945244
frozenset({'ground beef'}),"frozenset({'spaghetti', 'mineral water'})",0.017064391414478068,0.17367706919945725,2.90792789300252,0.01119616082473721,1.1379021384997599,0.727602010644589,0.12109744560075686,0.12118980519851537,0.22969567745687147,0.22276000487357128,0.05972536995067324,0.11395169924878401,0.11395169924878401,0.004897935778887951,1.9079278930025199,0.26746120955378466
"frozenset({'spaghetti', 'mineral water'})",frozenset({'ground beef'}),0.017064391414478068,0.2857142857142857,2.90792789300252,0.01119616082473721,1.2624450073323557,0.6977881752445767,0.12109744560075686,0.20788628875559684,0.22969567745687147,0.22276000487357128,0.09825356619117451,0.1874607195231112,0.1874607195231112,0.00696505772019513,1.9079278930025199,0.4399975701811145
frozenset({'olive oil'}),"frozenset({'spaghetti', 'mineral water'})",0.010265297960271964,0.15587044534412955,2.6097861842105265,0.0063319113777319585,1.1138984826004015,0.6603137122617643,0.08901734104046244,0.10225212115784997,0.16387272267206476,0.16367722136425175,0.05972536995067324,0.09614507539345632,0.09614507539345632,0.002701310070697539,1.6097861842105265,0.21571403697493516
"frozenset({'spaghetti', 'mineral water'})",frozenset({'olive oil'}),0.010265297960271964,0.171875,2.6097861842105265,0.0063319113777319585,1.1280206664268664,0.6560071149607517,0.08901734104046244,0.11349141929499072,0.16387272267206476,0.16367722136425175,0.0658578856152513,0.1060171143847487,0.1060171143847487,0.0029222015189641383,1.6097861842105265,0.23786324612861154
frozenset({'frozen vegetables'}),frozenset({'tomatoes'}),0.0161311825089988,0.1692307692307692,2.4744639376218323,0.009612121041284616,1.1213813466846394,0.6586555207244862,0.1093044263775971,0.1082427017744705,0.2025491078122657,0.1997899631856255,0.06839088121583789,0.10083988801493132,0.10083988801493132,0.004535821259335046,1.4744639376218323,0.22120424899495378
frozenset({'tomatoes'}),frozenset({'frozen vegetables'}),0.0161311825089988,0.23586744639376217,2.4744639376218323,0.009612121041284616,1.1839298977823367,0.6396159650309622,0.1093044263775971,0.15535539572643825,0.2025491078122657,0.1997899631856255,0.09532062391681109,0.14054682247695108,0.14054682247695108,0.005814774907126836,1.4744639376218323,0.30830611702025723
frozenset({'shrimp'}),frozenset({'frozen vegetables'}),0.01666444474070124,0.23320895522388058,2.44657394843962,0.009853105663323458,1.1798251717289276,0.6367666905958362,0.11101243339253997,0.1524167953336764,0.2040170650245277,0.20191779606515936,0.09532062391681109,0.13788833130706948,0.13788833130706948,0.005959956620026216,1.44657394843962,0.30101746486127273
frozenset({'frozen vegetables'}),frozenset({'shrimp'}),0.01666444474070124,0.17482517482517482,2.4465739484396196,0.009853105663323458,1.1252680433569309,0.6535632183908046,0.11101243339253997,0.11132284800626507,0.2040170650245277,0.20191779606515936,0.07145713904812692,0.1033680357770479,0.1033680357770479,0.004808070026413874,1.4465739484396196,0.2256578477841149
"frozenset({'milk', 'mineral water'})",frozenset({'frozen vegetables'}),0.011065191307825623,0.23055555555555557,2.418737373737374,0.0064904113304823366,1.175756589855408,0.6161315194962739,0.08366935483870967,0.14948382290336315,0.1733197358197358,0.16359642955697953,0.09532062391681109,0.13523493163874448,0.13523493163874448,0.003925923045651527,1.418737373737374,0.2937863688929447
frozenset({'frozen vegetables'}),"frozenset({'milk', 'mineral water'})",0.011065191307825623,0.11608391608391608,2.4187373737373736,0.0064904113304823366,1.0770325559967533,0.6483635692194063,0.08366935483870967,0.07152295960586115,0.1733197358197358,0.16359642955697953,0.04799360085321957,0.0680903152306965,0.0680903152306965,0.002270764048093504,1.4187373737373736,0.14792040951253152
"frozenset({'ground beef', 'mineral water'})",frozenset({'spaghetti'}),0.017064391414478068,0.41693811074918563,2.3946805273580716,0.009938434018689522,1.416470355163073,0.6072616937725882,0.08619528619528619,0.2940198173897726,0.2574736495552973,0.20214788109566445,0.17411011865084655,0.24282799209833908,0.24282799209833908,0.008296731765610701,1.3946805273580716,0.5252724742128841
frozenset({'spaghetti'}),"frozenset({'ground beef', 'mineral water'})",0.017064391414478068,0.09800918836140887,2.3946805273580716,0.009938434018689522,1.063283695733608,0.705188155770783,0.08619528619528619,0.05951722572962579,0.2574736495552973,0.20214788109566445,0.040927876283162246,0.05708131207824663,0.05708131207824663,0.0030171000084902783,1.3946805273580716,0.1234752293900118
"frozenset({'frozen vegetables', 'mineral water'})",frozenset({'milk'}),0.011065191307825623,0.3097014925373134,2.3899906332534853,0.006435386004880725,1.2609288130951908,0.6031375606115877,0.07173725151253242,0.2069338176631012,0.19754621951968548,0.1626213503229546,0.12958272230369283,0.18011877023362055,0.18011877023362055,0.0047311765574644254,1.3899906332534853,0.38929631349927424
frozenset({'milk'}),"frozenset({'frozen vegetables', 'mineral water'})",0.011065191307825623,0.08539094650205761,2.3899906332534853,0.006435386004880725,1.0542990218477055,0.6681718449844715,0.07173725151253242,0.05150248717156562,0.19754621951968548,0.1626213503229546,0.03572856952406346,0.04966237697799415,0.04966237697799415,0.0017283681159514324,1.3899906332534853,0.1073368436397176
frozenset({'ground beef'}),"frozenset({'milk', 'mineral water'})",0.011065191307825623,0.11261872455902307,2.3465362581034226,0.0063496488696410044,1.0728267831363565,0.6363650937279574,0.08185404339250493,0.06788307700843468,0.1715871400572893,0.1611361927273437,0.04799360085321957,0.0646251237058035,0.0646251237058035,0.0022116163277778773,1.3465362581034226,0.13858102913816375
"frozenset({'milk', 'mineral water'})",frozenset({'ground beef'}),0.011065191307825623,0.23055555555555557,2.3465362581034226,0.0063496488696410044,1.1719448237226613,0.6027690090989922,0.08185404339250493,0.14671750772061243,0.1715871400572893,0.1611361927273437,0.09825356619117451,0.13230198936438106,0.13230198936438106,0.003925923045651527,1.3465362581034226,0.2837061624300741
frozenset({'soup'}),frozenset({'milk'}),0.015197973603519531,0.3007915567282322,2.3212319619531585,0.008650599686295217,1.2448609367807564,0.5994841780103165,0.0921584478577203,0.19669742181321334,0.2090377536727581,0.1878244448558546,0.12958272230369283,0.17120883442453938,0.17120883442453938,0.006392753915140177,1.3212319619531585,0.36542886465933144
